audio_track,target,estimated_similarity,zcr_similarity,rhythm_similarity,chroma_similarity,energy_envelope_similarity,spectral_contrast_similarity,perceptual_similarity,swass
tracks/01. Maya Bay.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9922011554954229,0.5468619357202245,0.7581401318311691,0.5073853458548728,0.886940169651533,0.5612242292641465,0.7111180420128334
tracks/105. Chris Lum - The Fires Inside.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9662492725214507,0.5408503591760473,0.7261871695518494,0.502277120176728,0.9225663267102379,0.5551484835984274,0.7001714016582516
tracks/2205 - Regrets - Je Ne Veux Pas Rentrer Chez Moi Seule (D.J. Club Mix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9960524305198258,0.5331171895274996,0.7172109186649323,0.49675812666101254,0.9243563059054191,0.5699233777236787,0.7053722265438306
tracks/2 - Aurora (DJ IBON Remix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9888668233337521,0.5463542501719891,0.7147786021232605,0.5104458662360879,0.9263750190389785,0.5733513572159853,0.7083522950965041
tracks/03. I Need a Freak.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9832543651655369,0.5337165764657845,0.7499505877494812,0.5023091156650933,0.8578327530090358,0.565151450615715,0.7024287828667164
tracks/03 - Ana Rago - Sex (Les Pètroleuses Remix).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9694572000299131,0.5329974335711191,0.7259814143180847,0.5006035148152328,0.9308464761677215,0.5808347283769358,0.7049991543575059
tracks/1 Scum Of The Neighbourhood.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9859087459419152,0.5381189804606322,0.7282674014568329,0.4984701602017318,0.8926912150107653,0.6236921664372773,0.7143135963805813
tracks/09 - Koma - Black Satsuma.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9952335841928869,0.5389841270597711,0.7617155462503433,0.5051131859809554,0.9088869035511413,0.5671227969217161,0.7140112198381533
tracks/29. Basic Dawn - Pure Thrust (NU NRG Remix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9923763662158347,0.5459763525247631,0.6895131766796112,0.5088593512191781,0.8829427293582176,0.5770077974408437,0.7001549466299501
"tracks/7A - 128 - Average Party Tool - Herr Krank, Deborah Aime La Bagarre.aif",tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9952264976061549,0.5391204945882266,0.7304038107395172,0.508949076520287,0.9167157448232752,0.5731655864533751,0.7101497600118111
tracks/Bronski Beat - Smalltown Boy (12” Version).mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9793225795095483,0.5253315475348663,0.6567964851856232,0.5046553924074083,0.9098422997026113,0.5893981553621922,0.691619522729448
tracks/1-09. Gilbey & Cargo - Chunkafunk.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.9884451262491827,0.5462059860095717,0.7515189349651337,0.49587499632709325,0.8821483979020999,0.5655297480143235,0.7081422984705618
tracks/1-08. Loose Cannons - Out 4 The Nite (Eddie TM Losers Remix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9361003662734282,0.5412072627818982,0.7298752069473267,0.5116805237169678,0.9147488516194222,0.5742778264552062,0.6989350700252109
"tracks/Mostly James - Mostly James (TAN005) - 01 Buckle Up, Buckaroo.aiff",tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.99971656661144,0.5399616668096694,0.7048996686935425,0.49711651937840295,0.897477778584614,0.5586613560038133,0.7001072814199949
tracks/01 - Narcotic syntax - Electric liquid.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.973899645244614,0.5488839307144047,0.7121739089488983,0.5114080699587102,0.9235977779414585,0.56730067785654,0.7039522173429085
tracks/2 - Paura.aif,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9778542213297655,0.4999221841268411,0.7387488186359406,0.5933013472834723,0.8952618224826066,0.5514575616494753,0.7024528741250124
tracks/02 - Tainted Love.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9996934000542134,0.5303013991838834,0.6977091133594513,0.4935347729825757,0.8805286372922783,0.626976566048527,0.7083424367567005
tracks/3 Bat Attack.aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,0.0,0.9878844415548199,0.5314491301521946,0.7216149866580963,0.5013329608590374,0.8781595226660253,0.6216598183373587,0.7104709236930002
tracks/Light Blue File - André 3000 (Original Mix) [Pryma Records].mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9998844061190127,0.5454818043621643,0.6918997764587402,0.5047424045294563,0.9267234230666545,0.565951785196488,0.7037901371868922
tracks/The Heat - The Celebration (Original Mix).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9656830866053102,0.5429477603548711,0.7466733753681183,0.5003624305527741,0.8784250636064563,0.5763848058028989,0.7042165550421629
"tracks/107 - James Zabiela - James Zabiela , EyeAMComputer.aiff",tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,2.0,0.990692882997132,0.5408934832506346,0.7210626304149628,0.4935373409545769,0.871806818401367,0.5610256825260224,0.6992693517733447
tracks/01-jjak_hogan-optifreeze.mp3,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,3.0,0.9117460755680513,0.5404394478580755,0.7028668522834778,0.5035330541803391,0.9227103859849792,0.5659435641709958,0.6868235319926519
tracks/03 - Frozen (Meltdown Mix - Long Version).aiff,tracks/17-Spirit Catcher--Secret Stranger (Dub Mix)-35731532.mp3,1.0,0.9685205659623293,0.5404700838560085,0.7002391815185547,0.5133196331336498,0.8753470706892613,0.5826398132002704,0.6972405992897236
